fecha;material;precio_local;cantidad;precio_total_local;total_dolar;precio_dolar
8/21/2017;DAMAS M VZLA;45000;1;45000;;
8/23/2017; XPERENCE;20000;4;80000;;
8/23/2017; FRANELAS NIÑOS;25000;6;150000;;
8/23/2017;FRANELAS VARIAS ;18000;5;90000;;
8/23/2017;FRANELAS DAMAS;24000;3;72000;;
8/23/2017;FRANELAS CAB;26000;1;26000;;
8/23/2017;FRANELILLAS;30000;3;90000;;
8/23/2017;NIÑOS 4 Y 12;25000;2;50000;;
8/23/2017;FRANELILLAS S MAPA;40000;2;80000;;
8/23/2017;FRANELILLAS;45000;1;45000;;
8/23/2017;FRANELAS NIÑOS;25000;2;50000;;
8/23/2017;FRANELILLAS;20000;1;20000;;
8/23/2017;DAMAS;45000;1;45000;;
8/23/2017;FRANELILLAS ;40000;2;80000;;
8/23/2017;FRANELAS VARIAS ;42000;9;378000;;
8/24/2017;DAMAS M AREPA;55000;1;55000;;
8/24/2017;FRANELILLAS S MAPA;42000;1;42000;;
8/24/2017;FRANELILLAS L MAPA;44000;1;44000;;
8/24/2017;FRANELILLAS XL VZLA;45000;1;45000;;
8/24/2017;NIÑOS 4;25000;1;25000;;
8/24/2017;NIÑOS 8;25000;1;25000;;
8/28/2017;FRANELILLAS L MAPA;52000;1;52000;;
8/29/2017;FRANELA M VZLA;42000;1;42000;;
8/29/2017;FRANELA XL BANDERA;48000;1;48000;;
9/1/2017;FRANELAS DAMAS;48000;5;240000;;
9/1/2017;FRANELAS CAB;48000;7;336000;;
9/1/2017;FRANELILLAS VARIAS;43000;5;215000;;
9/1/2017;NIÑOS 2 Y 8 MAPA;25000;2;50000;;
9/2/2017;FRANELA CAB M VZLA;58000;1;58000;;
9/2/2017;FRANELILLA M VZLA;52000;1;52000;;
9/5/2017;FRANELILLAS VARIAS;35000;10;350000;;
9/5/2017;FRANELILLAS VARIAS;40000;1;40000;;
9/5/2017;FRANELAS DAMAS;45000;2;90000;;
9/5/2017;FRANELAS CAB;45000;2;90000;;
9/6/2017;FRANELA DAM S VZLA;56000;1;56000;;
9/6/2017;FRANELA CAB M MAPA;60000;1;60000;;
9/8/2017;FRANELA CAB XL MAPA;66000;1;66000;;
9/8/2017;FRANELILLA M MAPA;52000;1;52000;;
9/8/2017;NIÑOS 2 MAPA;28000;1;28000;;
9/8/2017;NIÑOS 12 MAPA;32000;1;32000;;
9/9/2017;NIÑOS 10 MAPA;32000;1;32000;;
9/10/2017;FRANELA DAM L MAPA;58000;1;58000;;
9/11/2017;FRANELA CAB M NEGRA B;58000;1;58000;;
9/12/2017;FRANELA CAB L MAPA;64000;1;64000;;
9/13/2017;NIÑOS 2 MAPA;28000;1;28000;;
9/13/2017;FRANELA DAM M MAPA;58000;1;58000;;
9/13/2017;FRANELA DAM S MAPA;56000;1;56000;;
9/13/2017;FRANELA DAM S PASTORA;56000;1;56000;;
9/13/2017;FRANELA DAM L BANDERA;60000;1;60000;;
