fecha;material;precio_local;cantidad;precio_total_local;total_dolar;conversion_dolar
8/21/2017;FRANELA;45000;1;45000;;
8/23/2017;FRANELA NIÑO;25000;6;150000;;
8/23/2017;FRANELA;18000;5;90000;;
8/23/2017;FRANELA;24000;3;72000;;
8/23/2017;FRANELA;26000;1;26000;;
8/23/2017;FRANELILLA;30000;3;90000;;
8/23/2017;FRANELA NIÑO;25000;2;50000;;
8/23/2017;FRANELILLA;40000;2;80000;;
8/23/2017;FRANELILLA;45000;1;45000;;
8/23/2017;FRANELA NIÑO;25000;2;50000;;
8/23/2017;FRANELILLA;20000;1;20000;;
8/23/2017;FRANELA;45000;1;45000;;
8/23/2017;FRANELILLA;40000;2;80000;;
8/23/2017;FRANELA;42000;9;378000;;
8/24/2017;FRANELA;55000;1;55000;;
8/24/2017;FRANELILLA;42000;1;42000;;
8/24/2017;FRANELILLA;44000;1;44000;;
8/24/2017;FRANELILLA;45000;1;45000;;
8/24/2017;FRANELA NIÑO;25000;1;25000;;
8/24/2017;FRANELA NIÑO;25000;1;25000;;
8/28/2017;FRANELILLA;52000;1;52000;;
8/29/2017;FRANELA;42000;1;42000;;
8/29/2017;FRANELA;48000;1;48000;;
9/1/2017;FRANELA;48000;5;240000;;
9/1/2017;FRANELA;48000;7;336000;;
9/1/2017;FRANELILLA;43000;5;215000;;
9/1/2017;FRANELA NIÑO;25000;2;50000;;
9/2/2017;FRANELA;58000;1;58000;;
9/2/2017;FRANELILLA;52000;1;52000;;
9/5/2017;FRANELILLA;35000;10;350000;;
9/5/2017;FRANELILLA;40000;1;40000;;
9/5/2017;FRANELA;45000;2;90000;;
9/5/2017;FRANELA;45000;2;90000;;
9/6/2017;FRANELA;56000;1;56000;;
9/6/2017;FRANELA;60000;1;60000;;
9/8/2017;FRANELA;66000;1;66000;;
9/8/2017;FRANELILLA;52000;1;52000;;
9/8/2017;FRANELA NIÑO;28000;1;28000;;
9/8/2017;FRANELA NIÑO;32000;1;32000;;
9/9/2017;FRANELA NIÑO;32000;1;32000;;
9/10/2017;FRANELA;58000;1;58000;;
9/11/2017;FRANELA;58000;1;58000;;
9/12/2017;FRANELA;64000;1;64000;;
9/13/2017;FRANELA NIÑO;28000;1;28000;;
9/13/2017;FRANELA;58000;1;58000;;
9/13/2017;FRANELA;56000;1;56000;;
9/13/2017;FRANELA;56000;1;56000;;
9/13/2017;FRANELA;60000;1;60000;;
9/14/2017;FRANELA;60000;1;60000;;
9/14/2017;FRANELA;62000;1;62000;;
9/14/2017;FRANELA;64000;1;64000;;
9/14/2017;FRANELA NIÑO;32000;1;32000;;
9/15/2017;FRANELA;60000;1;60000;;
9/15/2017;FRANELA;64000;1;64000;;
9/15/2017;FRANELA;62000;1;62000;;
9/15/2017;FRANELA;62000;1;62000;;
9/15/2017;FRANELILLA;54000;1;54000;;
9/15/2017;FRANELILLA;54000;1;54000;;
9/15/2017;FRANELA;56000;6;336000;;
9/16/2017;FRANELA;62000;1;62000;;
9/20/2017;FRANELA;56000;1;56000;;
9/20/2017;FRANELA;56000;1;56000;;
9/20/2017;FRANELA;58000;1;58000;;
9/24/2017;FRANELA;74000;1;74000;;
9/24/2017;FRANELA NIÑO;35000;1;35000;;
9/25/2017;FRANELA;78000;1;78000;;
9/25/2017;FRANELA NIÑO;28000;1;28000;;
9/26/2017;FRANELA NIÑO;35000;1;35000;;
9/28/2017;FRANELILLA;72500;4;290000;;
9/28/2017;FRANELA;78000;1;78000;;
10/1/2017;FRANELA;60000;2;120000;;
10/1/2017;FRANELA;70000;1;70000;;
10/3/2017;FRANELA;80000;1;80000;;
10/3/2017;FRANELA;60000;1;60000;;
10/6/2017;FRANELA;75000;5;375000;;
10/6/2017;FRANELA;86000;2;172000;;
10/6/2017;FRANELA;84000;1;84000;;
10/7/2017;FRANELA NIÑO;40000;2;80000;;
10/7/2017;FRANELA NIÑO;50000;2;100000;;
10/7/2017;FRANELA;113000;1;113000;;
10/9/2017;FRANELA NIÑO;35000;1;35000;;
10/14/2017;FRANELA NIÑO;45000;2;90000;;
10/15/2017;FRANELA NIÑO;55000;1;55000;;
10/15/2017;FRANELILLA;88000;1;88000;;
10/17/2017;FRANELILLA;43000;3;129000;;
10/18/2017;FRANELA;94000;1;94000;;
10/19/2017;FRANELA;78000;12;936000;;
10/19/2017;FRANELA;80000;3;240000;;
10/19/2017;FRANELA NIÑO;65000;3;195000;;
10/20/2017;FRANELA NIÑO;55000;2;110000;;
10/20/2017;FRANELA;94000;1;94000;;
10/24/2017;FRANELA;90000;1;90000;;
10/29/2017;FRANELA;120000;1;120000;;
10/29/2017;FRANELA;120000;1;120000;;
10/29/2017;FRANELA;140000;1;140000;;
10/29/2017;FRANELA NIÑO;60000;1;60000;;
10/29/2017;FRANELA;80000;3;240000;;
10/29/2017;FRANELILLA;90000;1;90000;;
10/29/2017;FRANELA NIÑO;60000;3;180000;;
10/30/2017;FRANELA NIÑO;60000;2;120000;;
10/30/2017;FRANELA;120000;1;120000;;
10/30/2017;FRANELA;120000;2;240000;;
10/30/2017;FRANELA NIÑO;65000;3;195000;;
11/3/2017;FRANELA;100000;1;100000;;
11/7/2017;FRANELA;130000;1;130000;;
11/7/2017;FRANELA;130000;1;130000;;
11/7/2017;FRANELA NIÑO;70000;1;70000;;
11/7/2017;FRANELILLA;100000;2;200000;;
11/7/2017;FRANELILLA;30000;1;30000;;
