fecha;material;precio_local;cantidad;precio_total_local;total_dolar;conversion_dolar
2017-08-21;FRANELA;45000.0;1;45000;nan;16280.05
2017-08-23;FRANELA NIÑO;25000.0;6;150000;nan;16845.07
2017-08-23;FRANELA;18000.0;5;90000;nan;16845.07
2017-08-23;FRANELA;24000.0;3;72000;nan;16845.07
2017-08-23;FRANELA;26000.0;1;26000;nan;16845.07
2017-08-23;FRANELILLA;30000.0;3;90000;nan;16845.07
2017-08-23;FRANELA NIÑO;25000.0;2;50000;nan;16845.07
2017-08-23;FRANELILLA;40000.0;2;80000;nan;16845.07
2017-08-23;FRANELILLA;45000.0;1;45000;nan;16845.07
2017-08-23;FRANELA NIÑO;25000.0;2;50000;nan;16845.07
2017-08-23;FRANELILLA;20000.0;1;20000;nan;16845.07
2017-08-23;FRANELA;45000.0;1;45000;nan;16845.07
2017-08-23;FRANELILLA;40000.0;2;80000;nan;16845.07
2017-08-23;FRANELA;42000.0;9;378000;nan;16845.07
2017-08-24;FRANELA;55000.0;1;55000;nan;16850.47
2017-08-24;FRANELILLA;42000.0;1;42000;nan;16850.47
2017-08-24;FRANELILLA;44000.0;1;44000;nan;16850.47
2017-08-24;FRANELILLA;45000.0;1;45000;nan;16850.47
2017-08-24;FRANELA NIÑO;25000.0;1;25000;nan;16850.47
2017-08-24;FRANELA NIÑO;25000.0;1;25000;nan;16850.47
2017-08-28;FRANELILLA;52000.0;1;52000;nan;16891.95
2017-08-29;FRANELA;42000.0;1;42000;nan;17562.56
2017-08-29;FRANELA;48000.0;1;48000;nan;17562.56
2017-09-01;FRANELA;48000.0;5;240000;nan;18470.97
2017-09-01;FRANELA;48000.0;7;336000;nan;18470.97
2017-09-01;FRANELILLA;43000.0;5;215000;nan;18470.97
2017-09-01;FRANELA NIÑO;25000.0;2;50000;nan;18470.97
2017-09-02;FRANELA;58000.0;1;58000;nan;18470.97
2017-09-02;FRANELILLA;52000.0;1;52000;nan;18470.97
2017-09-05;FRANELILLA;35000.0;10;350000;nan;19490.97
2017-09-05;FRANELILLA;40000.0;1;40000;nan;19490.97
2017-09-05;FRANELA;45000.0;2;90000;nan;19490.97
2017-09-05;FRANELA;45000.0;2;90000;nan;19490.97
2017-09-06;FRANELA;56000.0;1;56000;nan;19870.85
2017-09-06;FRANELA;60000.0;1;60000;nan;19870.85
2017-09-08;FRANELA;66000.0;1;66000;nan;21105.95
2017-09-08;FRANELILLA;52000.0;1;52000;nan;21105.95
2017-09-08;FRANELA NIÑO;28000.0;1;28000;nan;21105.95
2017-09-08;FRANELA NIÑO;32000.0;1;32000;nan;21105.95
2017-09-09;FRANELA NIÑO;32000.0;1;32000;nan;21105.95
2017-09-10;FRANELA;58000.0;1;58000;nan;21105.95
2017-09-11;FRANELA;58000.0;1;58000;nan;21105.95
2017-09-12;FRANELA;64000.0;1;64000;nan;21790.95
2017-09-13;FRANELA NIÑO;28000.0;1;28000;nan;22430.65
2017-09-13;FRANELA;58000.0;1;58000;nan;22430.65
2017-09-13;FRANELA;56000.0;1;56000;nan;22430.65
2017-09-13;FRANELA;56000.0;1;56000;nan;22430.65
2017-09-13;FRANELA;60000.0;1;60000;nan;22430.65
2017-09-14;FRANELA;60000.0;1;60000;nan;23218.54
2017-09-14;FRANELA;62000.0;1;62000;nan;23218.54
2017-09-14;FRANELA;64000.0;1;64000;nan;23218.54
2017-09-14;FRANELA NIÑO;32000.0;1;32000;nan;23218.54
