fecha;material;precio_local;cantidad;precio_total_local;total_dolar;conversion_dolar
2017-08-21;FRANELA;45000;1;45000;2.76411927481795;16280.05
2017-08-23;FRANELA NIÑO;25000;6;150000;8.90468249760909;16845.07
2017-08-23;FRANELA;18000;5;90000;5.34280949856546;16845.07
2017-08-23;FRANELA;24000;3;72000;4.27424759885237;16845.07
2017-08-23;FRANELA;26000;1;26000;1.54347829958558;16845.07
2017-08-23;FRANELILLA;30000;3;90000;5.34280949856546;16845.07
2017-08-23;FRANELA NIÑO;25000;2;50000;2.96822749920303;16845.07
2017-08-23;FRANELILLA;40000;2;80000;4.74916399872485;16845.07
2017-08-23;FRANELILLA;45000;1;45000;2.67140474928273;16845.07
2017-08-23;FRANELA NIÑO;25000;2;50000;2.96822749920303;16845.07
2017-08-23;FRANELILLA;20000;1;20000;1.18729099968121;16845.07
2017-08-23;FRANELA;45000;1;45000;2.67140474928273;16845.07
2017-08-23;FRANELILLA;40000;2;80000;4.74916399872485;16845.07
2017-08-23;FRANELA;42000;9;378000;22.4397998939749;16845.07
2017-08-24;FRANELA;55000;1;55000;3.26400391205705;16850.47
2017-08-24;FRANELILLA;42000;1;42000;2.49251207829811;16850.47
2017-08-24;FRANELILLA;44000;1;44000;2.61120312964564;16850.47
2017-08-24;FRANELILLA;45000;1;45000;2.67054865531941;16850.47
2017-08-24;FRANELA NIÑO;25000;1;25000;1.48363814184411;16850.47
2017-08-24;FRANELA NIÑO;25000;1;25000;1.48363814184411;16850.47
2017-08-28;FRANELILLA;52000;1;52000;3.07838941034043;16891.95
2017-08-29;FRANELA;42000;1;42000;2.39145090465171;17562.56
2017-08-29;FRANELA;48000;1;48000;2.73308674817339;17562.56
2017-09-01;FRANELA;48000;5;240000;12.99336201618;18470.97
2017-09-01;FRANELA;48000;7;336000;18.190706822652;18470.97
2017-09-01;FRANELILLA;43000;5;215000;11.6398868061612;18470.97
2017-09-01;FRANELA NIÑO;25000;2;50000;2.7069504200375;18470.97
2017-09-02;FRANELA;58000;1;58000;3.1400624872435;18470.97
2017-09-02;FRANELILLA;52000;1;52000;2.815228436839;18470.97
2017-09-05;FRANELILLA;35000;10;350000;17.9570334365093;19490.97
2017-09-05;FRANELILLA;40000;1;40000;2.05223239274392;19490.97
2017-09-05;FRANELA;45000;2;90000;4.61752288367382;19490.97
2017-09-05;FRANELA;45000;2;90000;4.61752288367382;19490.97
2017-09-06;FRANELA;56000;1;56000;2.81819851692303;19870.85
2017-09-06;FRANELA;60000;1;60000;3.01949841098896;19870.85
2017-09-08;FRANELA;66000;1;66000;3.12708027831014;21105.95
2017-09-08;FRANELILLA;52000;1;52000;2.46376021927466;21105.95
2017-09-08;FRANELA NIÑO;28000;1;28000;1.32664011807097;21105.95
2017-09-08;FRANELA NIÑO;32000;1;32000;1.51616013493825;21105.95
2017-09-09;FRANELA NIÑO;32000;1;32000;1.51616013493825;21105.95
2017-09-10;FRANELA;58000;1;58000;2.74804024457558;21105.95
2017-09-11;FRANELA;58000;1;58000;2.74804024457558;21105.95
2017-09-12;FRANELA;64000;1;64000;2.9369990753042;21790.95
2017-09-13;FRANELA NIÑO;28000;1;28000;1.24829195765615;22430.65
2017-09-13;FRANELA;58000;1;58000;2.58574762657346;22430.65
2017-09-13;FRANELA;56000;1;56000;2.49658391531231;22430.65
2017-09-13;FRANELA;56000;1;56000;2.49658391531231;22430.65
2017-09-13;FRANELA;60000;1;60000;2.67491133783461;22430.65
2017-09-14;FRANELA;60000;1;60000;2.58414181081153;23218.54
2017-09-14;FRANELA;62000;1;62000;2.67027987117192;23218.54
